epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1431.64,0.56484,2.33208,1.02598,0.53852,0.3257,0.33741,0.25329,0.98787,4.15654,1.29961,0.00044925,0.00044925,0.00044925
44,1458.65,0.67023,1.80456,1.08996,0.52661,0.36595,0.31458,0.23838,0.91873,3.44344,1.19915,0.000441637,0.000441637,0.000441637
45,1487.96,0.81289,1.92641,1.31603,0.52661,0.36595,0.31458,0.23838,0.91873,3.44344,1.19915,0.000434024,0.000434024,0.000434024
46,1515.04,0.5938,1.07381,0.97281,0.52661,0.36595,0.31458,0.23838,0.91873,3.44344,1.19915,0.000426411,0.000426411,0.000426411
47,1542.34,0.56711,1.65306,0.92084,0.55286,0.38976,0.35227,0.27536,0.81151,3.18305,1.13141,0.000418797,0.000418797,0.000418797
48,1569.05,0.66576,1.50821,0.9521,0.55286,0.38976,0.35227,0.27536,0.81151,3.18305,1.13141,0.000411184,0.000411184,0.000411184
49,1596.54,0.56332,1.65014,1.01915,0.64496,0.49622,0.41603,0.32879,0.829,2.8326,1.12896,0.000403571,0.000403571,0.000403571
50,1623.81,0.62835,1.4717,1.05574,0.64496,0.49622,0.41603,0.32879,0.829,2.8326,1.12896,0.000395958,0.000395958,0.000395958
51,1651.19,0.67903,1.24986,1.0312,0.64496,0.49622,0.41603,0.32879,0.829,2.8326,1.12896,0.000388345,0.000388345,0.000388345
52,1678.46,0.67983,1.38091,1.00744,0.67714,0.47854,0.45014,0.34242,0.82503,2.75352,1.14756,0.000380732,0.000380732,0.000380732
